# Months Out from EOWY23 ,Forecasted Unregulated Inflow Volume (maf) - Most,Forecasted Unregulated Inflow Volume (maf) - Min,Forecasted Unregulated Inflow Volume (maf) - Max
MonthsAway,Most,Min,Max
24,9.396,6.734,12.33
23,9.391,6.849,
22,9.387,6.842,
21,9.392,6.974,11.987
20,9.401,6.974,
19,9.401,6.974,
18,9.43,6.974,11.987
17,9.43,6.974,
16,10,6.101,
15,10,6.101,
14,10,6.101,17.699
13,10,6.3,
12,9.4,6.001,17.6
11,8.624,5.573,
10,7.619,4.905,
9,6.918,4.947,11.17
8,7.356,5.692,
7,7.656,6.147,
6,8.391,7.104,11.33
5,7.792,6.804,
4,7.791,7.737,
3,8.131,8.131,
2,7.944,5.25,7.944
1,8.078,8.078,
Actual,7.981,,
